SKU,ds,P10,P30,P50,P70,P90
ACC_CABLE_024,2026-09-09,109,277,392,507,675
ACC_CABLE_024,2026-09-10,97,272,392,512,687
ACC_CABLE_024,2026-09-11,86,268,392,516,698
ACC_CABLE_025,2026-08-29,442,492,526,561,611
ACC_CABLE_025,2026-08-30,407,478,526,575,646
ACC_CABLE_025,2026-08-31,259,345,405,464,551
ACC_CABLE_025,2026-09-01,236,336,405,473,574
ACC_CABLE_025,2026-09-02,216,328,405,482,594
ACC_CABLE_025,2026-09-03,198,321,405,489,612
ACC_CABLE_025,2026-09-04,182,314,405,496,628
ACC_CABLE_025,2026-09-05,288,429,526,623,765
ACC_CABLE_025,2026-09-06,273,423,526,629,780
ACC_CABLE_025,2026-09-07,138,296,405,513,672
ACC_CABLE_025,2026-09-08,125,291,405,519,685
ACC_CABLE_025,2026-09-09,113,286,405,524,697
ACC_CABLE_025,2026-09-10,101,281,405,528,709
ACC_CABLE_025,2026-09-11,89,277,405,533,721
ACC_CABLE_026,2026-08-29,300,334,358,381,415
ACC_CABLE_026,2026-08-30,277,325,358,391,439
ACC_CABLE_026,2026-08-31,176,235,275,316,375
ACC_CABLE_026,2026-09-01,160,229,275,322,390
ACC_CABLE_026,2026-09-02,147,223,275,327,403
ACC_CABLE_026,2026-09-03,135,218,275,332,416
ACC_CABLE_026,2026-09-04,123,214,275,337,427
ACC_CABLE_026,2026-09-05,195,292,358,424,520
ACC_CABLE_026,2026-09-06,186,288,358,428,530
ACC_CABLE_026,2026-09-07,94,201,275,349,457
ACC_CABLE_026,2026-09-08,85,198,275,352,465
ACC_CABLE_026,2026-09-09,76,194,275,356,474
ACC_CABLE_026,2026-09-10,68,191,275,359,482
ACC_CABLE_026,2026-09-11,61,188,275,362,490
ACC_CABLE_027,2026-08-29,396,442,473,505,550
ACC_CABLE_027,2026-08-30,365,430,474,519,584
ACC_CABLE_027,2026-08-31,232,312,366,420,500
ACC_CABLE_027,2026-09-01,213,304,367,430,521
ACC_CABLE_027,2026-09-02,195,298,368,438,541
ACC_CABLE_027,2026-09-03,180,292,369,446,558
ACC_CABLE_027,2026-09-04,166,287,370,453,574
ACC_CABLE_027,2026-09-05,264,394,482,571,701
ACC_CABLE_027,2026-09-06,252,390,484,578,715
ACC_CABLE_027,2026-09-07,129,274,373,472,617
ACC_CABLE_027,2026-09-08,118,270,374,478,630
ACC_CABLE_027,2026-09-09,108,266,375,484,642
ACC_CABLE_027,2026-09-10,98,263,376,489,654
ACC_CABLE_027,2026-09-11,88,260,377,494,666
ACC_CABLE_028,2026-08-29,319,355,379,404,440
ACC_CABLE_028,2026-08-30,293,344,379,414,465
ACC_CABLE_028,2026-08-31,186,249,292,335,397
ACC_CABLE_028,2026-09-01,170,242,292,341,414
ACC_CABLE_028,2026-09-02,156,237,292,347,428
ACC_CABLE_028,2026-09-03,143,231,292,352,441
ACC_CABLE_028,2026-09-04,131,226,292,357,453
ACC_CABLE_028,2026-09-05,207,310,379,449,552
ACC_CABLE_028,2026-09-06,197,305,379,454,562
ACC_CABLE_028,2026-09-07,99,214,292,370,484
ACC_CABLE_028,2026-09-08,90,210,292,374,494
ACC_CABLE_028,2026-09-09,81,206,292,378,503
ACC_CABLE_028,2026-09-10,73,203,292,381,511
ACC_CABLE_028,2026-09-11,64,199,292,384,520
ACC_CABLE_029,2026-08-29,432,482,515,549,599
ACC_CABLE_029,2026-08-30,398,468,515,563,633
ACC_CABLE_029,2026-08-31,252,338,397,455,541
ACC_CABLE_029,2026-09-01,230,329,397,464,563
ACC_CABLE_029,2026-09-02,210,321,397,472,583
ACC_CABLE_029,2026-09-03,193,314,397,480,601
ACC_CABLE_029,2026-09-04,178,309,398,487,618
ACC_CABLE_029,2026-09-05,283,423,519,614,754
ACC_CABLE_029,2026-09-06,270,419,520,621,770
ACC_CABLE_029,2026-09-07,138,294,401,508,664
ACC_CABLE_029,2026-09-08,126,290,402,514,678
ACC_CABLE_029,2026-09-09,115,286,403,520,691
ACC_CABLE_029,2026-09-10,104,282,404,526,704
ACC_CABLE_029,2026-09-11,94,278,405,532,716
ACC_CABLE_030,2026-08-29,266,296,317,337,368
ACC_CABLE_030,2026-08-30,245,288,317,346,389
ACC_CABLE_030,2026-08-31,156,208,244,279,332
ACC_CABLE_030,2026-09-01,142,202,244,285,345
ACC_CABLE_030,2026-09-02,130,198,244,290,357
ACC_CABLE_030,2026-09-03,119,193,244,294,368
ACC_CABLE_030,2026-09-04,109,189,244,298,378
ACC_CABLE_030,2026-09-05,173,258,317,375,460
ACC_CABLE_030,2026-09-06,164,255,317,379,469
ACC_CABLE_030,2026-09-07,83,178,244,309,404
ACC_CABLE_030,2026-09-08,75,175,244,312,412
ACC_CABLE_030,2026-09-09,68,172,244,315,420
ACC_CABLE_030,2026-09-10,61,169,244,318,427
ACC_CABLE_030,2026-09-11,54,166,244,321,434
ACC_CABLE_031,2026-08-29,457,510,546,582,635
ACC_CABLE_031,2026-08-30,422,496,547,598,673
ACC_CABLE_031,2026-08-31,268,359,422,485,576
ACC_CABLE_031,2026-09-01,245,351,423,495,601
ACC_CABLE_031,2026-09-02,225,343,424,505,623
ACC_CABLE_031,2026-09-03,207,337,425,513,643
ACC_CABLE_031,2026-09-04,191,330,426,522,661
ACC_CABLE_031,2026-09-05,304,453,555,657,806
ACC_CABLE_031,2026-09-06,290,448,556,665,823
ACC_CABLE_031,2026-09-07,148,315,429,543,710
ACC_CABLE_031,2026-09-08,135,310,430,550,725
ACC_CABLE_031,2026-09-09,123,306,431,556,739
ACC_CABLE_031,2026-09-10,112,302,432,562,752
ACC_CABLE_031,2026-09-11,100,298,433,568,766
ACC_CABLE_032,2026-08-29,376,419,448,477,520
ACC_CABLE_032,2026-08-30,346,407,448,489,549
ACC_CABLE_032,2026-08-31,220,294,344,395,469
ACC_CABLE_032,2026-09-01,201,286,344,403,488
ACC_CABLE_032,2026-09-02,184,279,344,410,505
ACC_CABLE_032,2026-09-03,169,273,344,416,520
ACC_CABLE_032,2026-09-04,154,267,344,422,534
ACC_CABLE_032,2026-09-05,245,365,448,530,651
ACC_CABLE_032,2026-09-06,232,360,448,535,663
ACC_CABLE_032,2026-09-07,117,252,344,437,572
ACC_CABLE_032,2026-09-08,106,248,344,441,583
ACC_CABLE_032,2026-09-09,96,243,344,446,593
ACC_CABLE_032,2026-09-10,86,239,344,450,603
ACC_CABLE_032,2026-09-11,76,235,344,454,613
ACC_CABLE_033,2026-08-29,424,472,505,538,586
ACC_CABLE_033,2026-08-30,391,459,505,552,620
ACC_CABLE_033,2026-08-31,248,332,389,446,529
ACC_CABLE_033,2026-09-01,227,323,389,455,551
ACC_CABLE_033,2026-09-02,208,315,389,462,570
ACC_CABLE_033,2026-09-03,190,308,389,469,587
ACC_CABLE_033,2026-09-04,174,302,389,476,603
ACC_CABLE_033,2026-09-05,276,412,505,598,734
ACC_CABLE_033,2026-09-06,262,407,505,604,748
ACC_CABLE_033,2026-09-07,132,285,389,493,645
ACC_CABLE_033,2026-09-08,120,280,389,498,657
ACC_CABLE_033,2026-09-09,108,275,389,503,669
ACC_CABLE_033,2026-09-10,97,270,389,507,681
ACC_CABLE_033,2026-09-11,86,266,389,512,692
ACC_CABLE_034,2026-08-29,365,407,435,463,505
ACC_CABLE_034,2026-08-30,336,395,435,475,534
ACC_CABLE_034,2026-08-31,214,286,335,384,456
ACC_CABLE_034,2026-09-01,195,278,335,391,474
ACC_CABLE_034,2026-09-02,179,271,335,398,491
ACC_CABLE_034,2026-09-03,164,265,335,404,506
ACC_CABLE_034,2026-09-04,150,260,335,410,519
ACC_CABLE_034,2026-09-05,238,355,435,515,632
ACC_CABLE_034,2026-09-06,226,350,435,520,644
ACC_CABLE_034,2026-09-07,114,245,335,424,555
ACC_CABLE_034,2026-09-08,103,241,335,429,566
ACC_CABLE_034,2026-09-09,93,237,335,433,576
ACC_CABLE_034,2026-09-10,83,232,335,437,586
ACC_CABLE_034,2026-09-11,74,229,335,441,596
ACC_CABLE_035,2026-08-29,268,299,320,341,371
ACC_CABLE_035,2026-08-30,247,290,320,349,392
ACC_CABLE_035,2026-08-31,157,210,246,282,335
ACC_CABLE_035,2026-09-01,143,204,246,288,348
ACC_CABLE_035,2026-09-02,131,199,246,292,361
ACC_CABLE_035,2026-09-03,120,195,246,297,371
ACC_CABLE_035,2026-09-04,110,191,246,301,382
ACC_CABLE_035,2026-09-05,175,261,320,379,465
ACC_CABLE_035,2026-09-06,166,257,320,382,473
ACC_CABLE_035,2026-09-07,84,180,246,312,408
ACC_CABLE_035,2026-09-08,76,177,246,315,416
ACC_CABLE_035,2026-09-09,68,174,246,318,423
ACC_CABLE_035,2026-09-10,61,171,246,321,431
ACC_CABLE_035,2026-09-11,54,168,246,324,438
ACC_CABLE_036,2026-08-29,275,307,328,349,381
ACC_CABLE_036,2026-08-30,254,298,328,358,402
ACC_CABLE_036,2026-08-31,161,215,252,289,343
ACC_CABLE_036,2026-09-01,147,210,252,295,358
ACC_CABLE_036,2026-09-02,135,205,252,300,370
ACC_CABLE_036,2026-09-03,123,200,252,305,381
ACC_CABLE_036,2026-09-04,113,196,252,309,391
ACC_CABLE_036,2026-09-05,179,268,328,388,477
